temperature, X, Y, Z
85.00,-5.84,-0.55,-7.06
temperature, X, Y, Z
85.00,-1.22,-1.69,-8.12
temperature, X, Y, Z
85.00,-2.43,-3.45,-8.83
temperature, X, Y, Z
85.00,0.67,-1.14,-8.63
temperature, X, Y, Z
85.00,0.59,-4.00,-8.16
temperature, X, Y, Z
85.00,-3.41,-2.08,-8.00
temperature, X, Y, Z
85.00,-2.79,-1.84,-8.12
temperature, X, Y, Z
85.00,-2.63,-1.33,-8.28
temperature, X, Y, Z
85.00,-2.75,-1.18,-8.32
temperature, X, Y, Z
85.00,-2.71,-1.33,-8.28
temperature, X, Y, Z
85.00,-1.96,-2.31,-8.28
temperature, X, Y, Z
85.00,-2.04,-1.33,-8.55
temperature, X, Y, Z
85.00,-1.69,-1.14,-8.51
temperature, X, Y, Z
85.00,-1.02,-1.22,-8.94
temperature, X, Y, Z
85.00,-0.94,-1.57,-8.79
temperature, X, Y, Z
85.00,-1.37,-1.18,-8.51
temperature, X, Y, Z
85.00,-2.82,-2.31,-8.94
temperature, X, Y, Z
85.00,-0.63,0.59,-8.83
temperature, X, Y, Z
85.00,-5.69,-2.94,-6.20
temperature, X, Y, Z
85.00,-0.90,0.04,-8.75
temperature, X, Y, Z
85.00,1.14,-0.43,-8.59
temperature, X, Y, Z
85.00,1.14,-0.43,-8.59
temperature, X, Y, Z
85.00,1.10,-0.43,-8.47
temperature, X, Y, Z
85.00,1.10,-0.47,-8.63
temperature, X, Y, Z
85.00,1.10,-0.43,-8.63
temperature, X, Y, Z
85.00,1.14,-0.47,-8.63
temperature, X, Y, Z
85.00,1.10,-0.43,-8.55
temperature, X, Y, Z
85.00,1.14,-0.43,-8.59
temperature, X, Y, Z
85.00,1.10,-0.43,-8.59
temperature, X, Y, Z
85.00,1.14,-0.43,-8.59
temperature, X, Y, Z
85.00,1.10,-0.43,-8.63
temperature, X, Y, Z
85.00,1.10,-0.51,-8.63
temperature, X, Y, Z
85.00,1.14,-0.43,-8.63
temperature, X, Y, Z
85.00,1.10,-0.43,-8.63
temperature, X, Y, Z
85.00,1.14,-0.47,-8.63
temperature, X, Y, Z
85.00,1.06,-0.43,-8.63
temperature, X, Y, Z
85.00,1.14,-0.43,-8.63
temperature, X, Y, Z
85.00,1.10,-0.39,-8.59
temperature, X, Y, Z
85.00,1.06,-0.39,-8.59
temperature, X, Y, Z
85.00,1.10,-0.39,-8.59
temperature, X, Y, Z
85.00,1.14,-0.43,-8.63
temperature, X, Y, Z
85.00,1.14,-0.43,-8.63
temperature, X, Y, Z
85.00,1.10,-0.43,-8.63
temperature, X, Y, Z
85.00,1.14,-0.43,-8.67
temperature, X, Y, Z
85.00,1.14,-0.43,-8.67
temperature, X, Y, Z
85.00,1.10,-0.43,-8.67
temperature, X, Y, Z
85.00,1.10,-0.35,-8.63
temperature, X, Y, Z
85.00,1.14,-0.39,-8.67
temperature, X, Y, Z
85.00,1.10,-0.39,-8.67
temperature, X, Y, Z
85.00,1.10,-0.39,-8.67
temperature, X, Y, Z
85.00,1.14,-0.43,-8.67
temperature, X, Y, Z
85.00,1.14,-0.39,-8.71
temperature, X, Y, Z
85.00,1.10,-0.35,-8.71
temperature, X, Y, Z
85.00,1.14,-0.39,-8.67
temperature, X, Y, Z
85.00,1.18,-0.43,-8.71
temperature, X, Y, Z
85.00,1.10,-0.39,-8.71
temperature, X, Y, Z
85.00,1.14,-0.39,-8.71
temperature, X, Y, Z
85.00,1.14,-0.39,-8.71
temperature, X, Y, Z
85.00,1.10,-0.43,-8.71
temperature, X, Y, Z
85.00,1.14,-0.39,-8.75
temperature, X, Y, Z
85.00,1.10,-0.39,-8.71
temperature, X, Y, Z
85.00,1.14,-0.39,-8.75
temperature, X, Y, Z
85.00,1.14,-0.39,-8.75
temperature, X, Y, Z
85.00,1.14,-0.39,-8.71
temperature, X, Y, Z
85.00,1.10,-0.39,-8.67
temperature, X, Y, Z
85.00,1.14,-0.39,-8.71
temperature, X, Y, Z
85.00,1.14,-0.39,-8.71
temperature, X, Y, Z
85.00,1.10,-0.39,-8.75
temperature, X, Y, Z
85.00,1.14,-0.43,-8.79
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.14,-0.35,-8.75
temperature, X, Y, Z
85.00,1.14,-0.39,-8.75
temperature, X, Y, Z
85.00,1.10,-0.39,-8.75
temperature, X, Y, Z
85.00,1.14,-0.39,-8.71
temperature, X, Y, Z
85.00,1.14,-0.35,-8.79
temperature, X, Y, Z
85.00,1.06,-0.35,-8.75
temperature, X, Y, Z
85.00,1.14,-0.35,-8.75
temperature, X, Y, Z
85.00,1.14,-0.39,-8.83
temperature, X, Y, Z
85.00,1.14,-0.35,-8.75
temperature, X, Y, Z
85.00,1.14,-0.35,-8.79
temperature, X, Y, Z
85.00,1.14,-0.35,-8.71
temperature, X, Y, Z
85.00,1.14,-0.39,-8.75
temperature, X, Y, Z
85.00,1.10,-0.39,-8.83
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.18,-0.39,-8.83
temperature, X, Y, Z
85.00,1.14,-0.35,-8.83
temperature, X, Y, Z
85.00,1.10,-0.35,-8.79
temperature, X, Y, Z
85.00,1.14,-0.35,-8.75
temperature, X, Y, Z
85.00,1.10,-0.35,-8.83
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.43,-8.79
temperature, X, Y, Z
85.00,1.18,-0.35,-8.79
temperature, X, Y, Z
85.00,1.14,-0.35,-8.83
temperature, X, Y, Z
85.00,1.14,-0.35,-8.83
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.06,-0.35,-8.83
temperature, X, Y, Z
85.00,1.14,-0.35,-8.83
temperature, X, Y, Z
85.00,1.14,-0.35,-8.79
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.14,-0.35,-8.79
temperature, X, Y, Z
85.00,1.18,-0.39,-8.83
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.14,-0.35,-8.83
temperature, X, Y, Z
85.00,1.10,-0.31,-8.83
temperature, X, Y, Z
85.00,1.10,-0.35,-8.83
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.35,-8.79
temperature, X, Y, Z
85.00,1.14,-0.35,-8.83
temperature, X, Y, Z
85.00,1.14,-0.35,-8.87
temperature, X, Y, Z
85.00,1.14,-0.39,-8.75
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.35,-8.83
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.14,-0.39,-8.83
temperature, X, Y, Z
85.00,1.14,-0.31,-8.79
temperature, X, Y, Z
85.00,1.10,-0.31,-8.79
temperature, X, Y, Z
85.00,1.10,-0.35,-8.79
temperature, X, Y, Z
85.00,1.06,-0.35,-8.87
temperature, X, Y, Z
85.00,1.10,-0.39,-8.75
temperature, X, Y, Z
85.00,1.10,-0.39,-8.75
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.31,-8.79
temperature, X, Y, Z
85.00,1.10,-0.35,-8.79
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.06,-0.35,-8.79
temperature, X, Y, Z
85.00,1.10,-0.35,-8.71
temperature, X, Y, Z
85.00,1.14,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.39,-8.71
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.14,-0.35,-8.79
temperature, X, Y, Z
85.00,1.10,-0.39,-8.75
temperature, X, Y, Z
85.00,1.10,-0.35,-8.83
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.35,-8.79
temperature, X, Y, Z
85.00,1.14,-0.35,-8.75
temperature, X, Y, Z
85.00,1.10,-0.35,-8.83
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.35,-8.79
temperature, X, Y, Z
85.00,1.06,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.39,-8.79
temperature, X, Y, Z
85.00,1.10,-0.31,-8.83
temperature, X, Y, Z
85.00,-0.67,-0.98,-8.51
temperature, X, Y, Z
85.00,-1.88,-1.57,-8.47
temperature, X, Y, Z
85.00,-1.88,-0.71,-8.63
temperature, X, Y, Z
85.00,-1.80,-0.51,-8.32
temperature, X, Y, Z
85.00,4.24,-2.51,-8.71
temperature, X, Y, Z
85.00,0.12,-3.30,-10.04
temperature, X, Y, Z
85.00,-1.49,-2.08,-8.39
temperature, X, Y, Z
85.00,-2.47,-0.63,-9.18
temperature, X, Y, Z
85.00,-0.55,-1.96,-8.59
temperature, X, Y, Z
85.00,-2.51,-1.18,-7.10
temperature, X, Y, Z
85.00,-1.69,-1.41,-8.04
temperature, X, Y, Z
85.00,-2.82,-0.78,-7.45
temperature, X, Y, Z
85.00,-0.08,2.55,-9.02
temperature, X, Y, Z
85.00,-2.28,0.08,-8.55
temperature, X, Y, Z
85.00,-2.00,0.16,-8.90
temperature, X, Y, Z
85.00,-2.47,0.00,-7.06
temperature, X, Y, Z
85.00,0.78,-1.26,-10.08
temperature, X, Y, Z
85.00,-0.39,-1.06,-8.24
temperature, X, Y, Z
85.00,-3.53,-1.41,-8.75
temperature, X, Y, Z
85.00,-2.51,-0.71,-10.24
temperature, X, Y, Z
85.00,-2.59,1.29,-8.79
temperature, X, Y, Z
85.00,-3.18,-0.04,-8.12
temperature, X, Y, Z
85.00,-3.65,-1.41,-7.88
temperature, X, Y, Z
85.00,-1.92,-0.55,-8.83
temperature, X, Y, Z
85.00,-2.39,-1.02,-8.39
temperature, X, Y, Z
85.00,-3.61,1.77,-9.02
temperature, X, Y, Z
85.00,-2.86,-0.98,-7.53
temperature, X, Y, Z
85.00,-0.71,0.71,-8.47
temperature, X, Y, Z
85.00,-2.08,-0.20,-10.20
temperature, X, Y, Z
85.00,-2.82,-2.00,-7.81
temperature, X, Y, Z
85.00,-2.12,-0.67,-8.24
temperature, X, Y, Z
85.00,-2.20,0.71,-8.51
temperature, X, Y, Z
85.00,-2.00,-1.06,-7.41
temperature, X, Y, Z
85.00,-4.24,-2.39,-7.06
temperature, X, Y, Z
85.00,-2.35,-0.75,-9.30
temperature, X, Y, Z
85.00,-2.71,-1.69,-8.00
temperature, X, Y, Z
85.00,-1.18,-0.82,-7.92
temperature, X, Y, Z
85.00,-1.96,0.12,-9.10
